dataset,record_identifier,segment_id,sample_count,duration_seconds,sampling_rate_hz,acc_mean,acc_std,acc_rms,acc_peak_to_peak,jerk_rms,jerk_peak_to_peak,acc_dominant_frequency_hz,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_energy,gyro_mean,gyro_std,gyro_rms,gyro_peak_to_peak,gyro_dominant_frequency_hz,gyro_spectral_centroid_hz,gyro_spectral_bandwidth_hz,gyro_spectral_energy,subject_id,sensor_id
COUGH,"('015', 'IMU')",1,72358,733.637,100.0,1.05631197830765,0.42241634758854063,1.1376425476511784,6.621487056284744,20.020039278388346,754.1173232435748,2.734375,5.72516616488085,5.975823351323864,3.6574565966034314,33.45573123172752,47.32582909625703,57.95705351290485,662.2686493861647,2.734375,7.7491266594756825,8.138831077673654,18753.891035569002,015,IMU
COUGH,"('015', 'IMU')",2,71563,725.553,100.0,1.0737749606453222,0.47919767058138163,1.1758499366838806,9.861482171611566,26.00451019114646,1107.8771554771588,2.587890625,6.586095664171778,6.963261106989561,4.74913002906749,41.657715983535006,61.62554802357839,74.38463194888601,1122.1982275311257,5.224609375,7.97240984008243,8.044117966280217,40550.7479992496,015,IMU
COUGH,"('015', 'IMU')",3,71944,729.463,100.0,1.066286978448408,0.3929749549160554,1.1363966013676348,8.545650938322932,18.68231500043294,1047.3321375937564,2.63671875,5.6793784399304945,6.064476183300223,3.163477836018363,44.73368562152089,62.078412202483754,76.51687324287728,1159.4262474024888,2.63671875,6.982739170318463,7.428775429181798,42405.072483941876,015,IMU
COUGH,"('016', 'IMU')",33,75831,768.8569999999999,100.0,1.1634457369448583,0.3686758562578011,1.220462154186924,4.4808325907831685,10.314783515888616,329.1179029350445,2.880859375,3.6585128200830983,3.0099553289742835,2.8216466700466603,32.86638628713353,38.49147350659041,50.6141569156657,425.6229004261261,5.76171875,5.665680205575605,5.532435357510261,12569.837968561984,016,IMU
COUGH,"('016', 'IMU')",34,75407,764.596,100.0,1.1564282839365139,0.2930257341027158,1.1929754635929382,5.539107468740394,9.293992753961682,628.0512039083758,2.83203125,4.077825778757471,3.439348044851215,1.7675911592897486,31.66940730765237,32.08409230867157,45.081485539956915,521.8320039361706,0.048828125,4.807926922276557,5.28873529371468,9167.989947153284,016,IMU
COUGH,"('016', 'IMU')",35,74598,756.403,100.0,1.1617199823599231,0.37996890786209825,1.2222805276843187,4.6049733210578,11.61023433175236,358.9862051662733,2.880859375,3.9583413430136503,3.3202950690144335,3.016315101462394,40.34368411308231,39.646787224774286,56.563951285803014,440.6470741874376,0.048828125,4.862727071523918,5.34585352173819,15772.202603564474,016,IMU
COUGH,"('017', 'IMU')",1,77520,775.19,100.0,1.0892761703544949,0.38578217034199436,1.1555736489968669,5.3615718476220104,8.581728525576775,475.6901075642602,2.734375,3.0750184961431817,1.9737801755517732,3.1056501477491043,42.97766961302224,62.83655713325732,76.12826674584944,671.4058582037388,5.419921875,5.315274533095479,3.893399703613885,24251.1312075478,017,IMU
COUGH,"('017', 'IMU')",2,2046,20.45,100.0,1.089818668109412,0.4034147666655074,1.162087863856928,6.1494881348917545,16.127599278434122,767.1733602248793,1.466275659824047,4.138278540278843,6.0749128108011385,7.258598910640578,46.05669500487522,47.797559429003826,66.37639521803855,661.6384667920399,0.4887585532746823,4.954832352480001,6.208351026923306,78500.02397921911,017,IMU
COUGH,"('017', 'IMU')",4,158,1.5700000000000003,100.0,1.1044218878395162,0.3002590906352379,1.1445100383343527,2.3030515249723535,8.925651838395423,77.97439871820794,4.430379746835443,4.157071864567005,2.076877317630894,0.0179553871326573,57.49202125812373,40.33273569319619,70.22864142813651,211.36456767256527,0.6329113924050632,1.1830953330007463,2.06695155964516,1639.5936965164346,017,IMU
COUGH,"('017', 'IMU')",5,52956,529.55,100.0,1.08838790520154,0.4457787856954464,1.1761407050030634,3.8328171733921366,10.07953728574854,238.9894217652639,2.587890625,3.0881582180488802,2.0255270988071294,4.176268648552195,48.208225142892694,61.094483747733285,77.82396106489233,463.5840993248255,5.224609375,5.706583348578685,4.090894920404542,29036.230203110466,017,IMU
COUGH,"('017', 'IMU')",6,29438,294.37,100.0,1.0733646567827941,0.1333646855017038,1.0816181515532244,4.056267487651041,3.398620396995067,240.737332299189,1.5625,3.2986574758446867,2.580770771296977,0.36987013480203357,21.688518242683543,21.28861280198444,30.39073639443494,309.2867929113515,0.048828125,3.160902440916847,4.494986416002973,5927.475443092409,017,IMU
COUGH,"('017', 'IMU')",7,1514,15.13,100.0,1.093980422628152,0.4599420409240366,1.1867349519176715,4.455980775400673,11.750582113429017,303.2028786227461,1.4531043593130777,2.732804625424212,3.7683426781980796,6.03748070768784,42.886862543207705,50.8545472059968,66.52419071531008,417.94740777405156,0.06605019815059444,3.7157778190127093,4.931589628661241,63624.33728577818,017,IMU
COUGH,"('017', 'IMU')",8,54,0.5299999999999994,100.0,1.068869358907645,0.10201941116781152,1.0737269982014361,0.3866392877582431,3.4957693213642878,17.436683400102176,3.7037037037037033,4.471876284166968,2.281720328608168,0.004731602890445893,21.732687075200825,8.78453932321033,23.440943211177096,42.840540575036556,5.555555555555555,6.781526111076554,4.085399275025762,63.93800895360953,017,IMU
COUGH,"('017', 'IMU')",12,108,1.0700000000000003,100.0,1.0524098055127018,0.13477192449129388,1.0610041801851537,0.5826798071413906,4.591784089634191,37.522744894370916,0.9259259259259258,2.7775558894034047,2.290832202353203,0.021317268093288926,39.66840994767367,18.75125008008527,43.8770113766035,83.83948019244079,1.8518518518518516,2.6151325797229314,2.0192945836292284,390.42893099270117,017,IMU
COUGH,"('017', 'IMU')",14,84,0.8300000000000018,100.0,1.1360731816062757,0.2824096565810599,1.170648319562813,1.5900072631649973,7.374193078038265,44.83154303583174,3.571428571428571,3.6208847477420703,1.9412663102073016,0.08580778010694012,52.366521097233544,46.07221709763968,69.74884744652809,190.9682742401047,1.1904761904761905,3.8754536284403245,4.36623226327039,1484.3831204508754,017,IMU
COUGH,"('017', 'IMU')",38,134,1.3300000000000018,100.0,1.08432120411613,0.005200118221619122,1.0843336732414857,0.03041874484501328,0.4773864189371692,3.002599141462767,5.223880597014925,12.662712867899165,9.666993344300232,4.158977290695588e-05,3.5131080582932706,1.4879983531956924,3.8152414508597237,8.190079968514631,4.477611940298507,6.313094918770359,7.25083734911938,2.3860955043945022,017,IMU
COUGH,"('017', 'IMU')",46,57674,576.73,100.0,1.1026170711228351,0.4917695336613966,1.2073117574881174,4.347601433348895,12.052613609416515,292.4844080087337,2.734375,3.335419983471269,2.2885824513253055,5.0202041185124875,60.35442660732699,71.22236222869158,93.35567306026012,584.3429765206204,5.419921875,6.242655846253984,5.097928380055888,45384.55411692474,017,IMU
COUGH,"('017', 'IMU')",47,94,0.9300000000000637,100.0,1.072234067357011,0.0449142032112793,1.0731743478349938,0.27041041986960745,2.312474841779502,20.275058883257124,2.127659574468085,3.819308417373223,3.9319466521427335,0.0018853038663159422,49.960814646025916,15.572757648463615,52.33157537158938,54.94047735933656,1.0638297872340425,1.3506024815397217,2.4604046126642634,200.90404690469936,017,IMU
COUGH,"('017', 'IMU')",48,14122,141.21000000000004,100.0,1.0706706630817997,0.05410899179755749,1.0720370570914834,2.10920295534649,1.8361375902168129,103.07188036046004,4.541015625,4.93494107623309,4.4441178738914155,0.03179472497500065,11.442170406903458,18.65489057137296,21.884428387566285,245.02973106339564,0.048828125,1.9626913966891617,3.998360359240034,5530.26551045844,017,IMU
