dataset,record_identifier,segment_id,sample_count,duration_seconds,sampling_rate_hz,acc_mean,acc_std,acc_rms,acc_peak_to_peak,jerk_rms,jerk_peak_to_peak,acc_dominant_frequency_hz,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_energy,gyro_mean,gyro_std,gyro_rms,gyro_peak_to_peak,gyro_dominant_frequency_hz,gyro_spectral_centroid_hz,gyro_spectral_bandwidth_hz,gyro_spectral_energy,subject_id,record_id,sub_dataset,sensor_id,candidate_artifact,candidate_reason,manual_label
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",25,2610,89.97299194335983,30.0,16888.873504523137,146.6283529433234,16889.510002533243,1533.696207691024,4553.929549816598,54483.77330358904,0.0146484375,5.592421313986282,4.861293603102023,1002254.1586374334,362.84823536889894,283.26163164009336,460.32162003291984,3586.957119727907,0.0439453125,2.048227149414778,2.9066662158134235,2946855.4365555495,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_gyroscope_variability,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",26,1709,58.89952898025558,30.0,16320.495904987152,190.9851867824521,16321.61333711446,2504.8832377365834,4576.585586404832,71437.84508741526,0.0,5.775833094906461,4.5661818146644775,611632.1985058223,366.2970978691963,454.93440346748383,584.0709506264722,4048.8054993366914,0.0,1.0978896786289238,2.5605245898686224,1177827.933347982,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_acceleration_variability;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",32,2632,90.69752311706497,30.0,16115.071840643863,125.38050077821325,16115.559583802486,2196.753921542704,4362.6011790612765,80029.09894886607,0.0146484375,7.041530418428584,4.5202638256449985,754748.4574074041,265.9061846998364,109.01438666839579,287.3851693499684,1827.9522474706641,0.0439453125,2.7730786056429206,3.720304321166261,806159.260353133,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",35,878,30.21642780303955,30.0,16435.311055644048,352.8789481684701,16439.098912283363,3951.0254576770967,6721.002089706496,101403.34740147265,0.03416856492027335,2.6461159034671913,3.054215984233116,2875051.9487475837,629.8681745999844,821.3766234615738,1035.0813856615587,4391.533525256282,0.03416856492027335,0.48764056327748856,1.2976791429447625,18385440.582635578,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_acceleration_variability;unusually_high_jerk;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",42,1755,60.4471681118016,30.0,16755.2859768182,330.90446930031936,16758.55321717133,2601.040247819934,4733.694353217679,72674.88118455722,0.017094017094017096,1.759202926737163,3.2875241969755162,4312092.632420311,440.53590008199143,533.1959908078769,691.6428586160952,4492.623316698941,0.03418803418803419,0.60226939973414,1.5934732463044081,17116099.040987894,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_acceleration_variability;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",44,864,29.745712995529175,30.0,16883.568574099714,128.10405191479282,16884.05456175869,956.8338360932667,4240.531294984038,34742.60845762685,0.034722222222222224,5.1938278905936945,4.410652810514998,368846.4866733359,470.8807155397149,447.27234652310835,649.4468417287757,2751.1505284139407,0.034722222222222224,0.7509817939955935,1.771529107924469,2668382.0994747463,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_gyroscope_variability,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",45,1749,60.245858907699585,30.0,16890.965993869588,367.1030997953526,16894.954776262002,14155.450934502009,14052.60041974174,726907.0753785293,5.111492281303602,6.7427619017669755,3.9919048005064233,16342877.443045717,405.22076835769434,709.7725416305709,817.3010045026989,22521.43515760932,0.03430531732418525,3.647759052913834,4.168090245032291,59748172.81782093,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_acceleration_variability;unusually_high_jerk;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",46,1323,45.58880686759949,30.0,16770.409564825466,225.27875410371163,16771.92259369927,4283.0649224339995,6903.927427124373,141007.53207456434,0.09070294784580499,5.380889425246298,4.247468305380507,1428161.1134162091,482.7734704143095,469.86117021141285,673.6762894805743,8207.063264795355,0.11337868480725624,2.324233130887402,2.981107137153676,14787667.39843978,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_acceleration_variability;unusually_high_jerk;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU3')",1,109,3.711780071258545,30.0,15502.042171896175,151.71939883149597,15502.78459745956,874.1657214240568,4651.363388147436,25947.618558975715,3.0275229357798166,5.098888479772214,3.242026704856332,71406.08331053288,942.9408650119585,167.87777431467313,957.7684595027906,899.043549345414,0.8256880733944955,1.9840258754888678,2.958221637104283,48167.5757413469,single_subject,record_39,Sub-dataset Three,IMU3,True,unusually_high_acceleration_variability,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU3')",6,9662,333.11936593055725,30.0,15451.573539878744,173.19518129194,15452.54417334258,3336.3261699842988,4592.615330234312,90463.18703401563,0.0146484375,4.840360704672888,4.554216253239693,1378863.4046194796,1033.2092672313763,256.456306979061,1064.5615187870244,6542.606078193758,0.029296875,0.9034334845774226,2.1115406784975055,4971217.833192447,single_subject,record_39,Sub-dataset Three,IMU3,True,unusually_high_acceleration_variability;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
